5928986,北京,随行付支付有限公司,"['技能培训', '节日礼物', '年底双薪', '股票期权']",石景山区,本科,运营|编辑|客服类,2天前发布,数据分析师(J10129),15k-25k,3-5年
5701244,佛山,美的集团电子商务有限公司,"['扁平管理', '团队颜值高', '不打卡', '年度旅游']",顺德区,本科,产品|需求|项目类,2天前发布,数据分析师,10k-20k,1-3年
5759867,北京,北京达佳互联信息技术有限公司,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,产品|需求|项目类,2019-05-08,数据分析师（流媒体方向）,20k-40k,1-3年
5928261,上海,上海纵游网络技术有限公司,"['五险一金', '节日礼物', '午餐补助', '岗位晋升']",杨浦区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,不限
5762458,北京,达内时代科技集团有限公司,"['技能培训', '股票期权', '专项奖金', '带薪年假']",海淀区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,1-3年
5894647,北京,北京寄云鼎城科技有限公司,"['绩效奖金', '弹性工作', '年度旅游', '岗位晋升']",海淀区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,1-3年
5925663,北京,随行付（北京）金融信息服务有限公司,"['绩效奖金', '午餐补助', '通讯津贴', '带薪年假']",海淀区,本科,运营|编辑|客服类,3天前发布,数据分析师,12k-18k,3-5年
5751657,上海,中国平安人寿保险股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '节日礼物']",浦东新区,本科,金融类,2天前发布,0221KM-数据分析岗,10k-20k,1-3年
5929577,北京,凡普金科集团有限公司,"['年底双薪', '节日礼物', '技能培训', '带薪年假']",东城区,本科,开发|测试|运维类,1天前发布,数据分析师-增长,15k-25k,1-3年
4608243,广州,广州市原象信息科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '美女多']",海珠区,本科,开发|测试|运维类,2019-05-09,数据分析师,8k-10k,1-3年
5746399,广州,广州荔支网络技术有限公司,"['绩效奖金', '专项奖金', '带薪年假', '弹性工作']",天河区,本科,开发|测试|运维类,1天前发布,数据分析工程师 (MJ000239),15k-30k,不限
5939876,北京,任买科技（北京）有限公司,"['股票期权', '一年两次晋升', '春节超长假期', '扁平管理']",东城区,本科,市场|商务类,1天前发布,数据分析师DA,15k-25k,1-3年
5939641,北京,北京瓴岳信息技术有限公司,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",朝阳区,本科,开发|测试|运维类,1天前发布,数据分析工程师,15k-30k,1-3年
5846275,北京,北京云杉世界信息技术有限公司,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",朝阳区,本科,运营|编辑|客服类,2天前发布,数据分析/数据运营总监/经理(J13509),30k-50k,5-10年
5701233,深圳,美的集团电子商务有限公司,"['扁平管理', '团队颜值高', '不打卡', '年度旅游']",南山区,本科,产品|需求|项目类,2天前发布,数据分析师,10k-20k,1-3年
5937381,北京,凡普金科集团有限公司,"['年底双薪', '节日礼物', '技能培训', '带薪年假']",东城区,本科,综合职能|高级管理,1天前发布,数据分析-人力方向,15k-30k,3-5年
5763949,广州,广州市原象信息科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '美女多']",海珠区,不限,产品|需求|项目类,2019-05-09,数据分析师（内容营销方向）,7k-10k,1-3年
5605166,天津,北京达佳互联信息技术有限公司,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",西青区,本科,产品|需求|项目类,2天前发布,数据分析专员,8k-10k,1-3年
5430376,韶关,广东精点数据科技股份有限公司,"['带薪年假', '绩效奖金', '大数据', '数据分析']",浈江区,本科,开发|测试|运维类,1天前发布,数据分析工程师（韶关）,5k-7k,1-3年
5931644,深圳,平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",南山区,本科,开发|测试|运维类,00:00发布,1121GN-资深数据分析师,15k-25k,5-10年
5931055,武汉,武汉飞猫环球商贸有限公司,"['年底双薪', '绩效奖金', '团队活力年轻', '领导亲和']",洪山区,本科,产品|需求|项目类,1天前发布,数据分析工程师,12k-20k,1-3年
5939880,上海,上海基分文化传播有限公司,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",浦东新区,本科,开发|测试|运维类,1天前发布,资深数据分析师,25k-50k,5-10年
5936679,武汉,武汉斗鱼网络科技有限公司,"['技能培训', '绩效奖金', '年度旅游', '管理规范']",洪山区,本科,运营|编辑|客服类,1天前发布,数据分析实习生,2k-4k,不限
5937999,北京,途家网网络技术（北京）有限公司,"['绩效奖金', '五险一金', '带薪年假', '免费班车']",朝阳区,本科,产品|需求|项目类,1天前发布,数据分析经理,15k-30k,3-5年
5933045,北京,零氪信息技术（北京）有限公司,"['年底双薪', '年终分红', '带薪年假', '定期体检']",海淀区,本科,产品|需求|项目类,1天前发布,资深数据分析师,20k-40k,3-5年
5926328,上海,蝴蝶互动（上海）信息技术有限公司,"['带薪年假', '专项奖金', '年底双薪', '交通补助']",浦东新区,本科,开发|测试|运维类,1天前发布,资深数据分析师,15k-25k,1-3年
5939513,广州,上饶市一三齐齐信息技术有限公司广州分公司,"['年底双薪', '带薪年假', '免费三餐', '下午茶']",天河区,本科,产品|需求|项目类,1天前发布,数据分析专员,6k-7k,1-3年
5418511,上海,交银企业管理服务（上海）有限公司张江高科技园区分公司,[],长宁区,本科,开发|测试|运维类,1天前发布,数据分析经理（金融科技）,15k-30k,5-10年
5203054,杭州,网易（杭州）有限公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",滨江区,本科,产品|需求|项目类,1天前发布,资深数据分析师,20k-40k,5-10年
5929616,北京,凡普金科集团有限公司,"['年底双薪', '节日礼物', '技能培训', '带薪年假']",东城区,本科,产品|需求|项目类,1天前发布,数据分析师-风控,15k-25k,1-3年
5252460,北京,广州市原象信息科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '美女多']",东城区,大专,产品|需求|项目类,2019-04-29,数据分析师,6k-9k,1-3年
5936295,上海,上海基分文化传播有限公司,"['专项奖金', '带薪年假', '弹性工作', '管理规范']",浦东新区,本科,产品|需求|项目类,1天前发布,资深数据分析师(002167),20k-40k,3-5年
5720477,上海,交银企业管理服务（上海）有限公司张江高科技园区分公司,[],长宁区,本科,开发|测试|运维类,1天前发布,资深数据分析经理,25k-50k,5-10年
5925674,上海,上海小牛互娱智能科技有限公司,"['年底双薪', '带薪年假', '扁平管理', '领导好']",浦东新区,本科,公务员|其他,1天前发布,数据分析实习生,4k-6k,1年以下
4703938,宁波,宁波邻家网络科技有限公司,"['带薪年假', '扁平管理', '年底双薪', '五险一金']",海曙区,本科,运营|编辑|客服类,1天前发布,数据分析实习生,5k-10k,应届毕业生
5926622,佛山,广发银行股份有限公司信用卡中心,"['管理规范', '平台大机遇好', '金融科技', '绩效奖金']",南海区,本科,产品|需求|项目类,2天前发布,数据分析资深专家（数据分析经理）,25k-40k,5-10年
5932347,北京,玖富金科控股集团有限责任公司,"['绩效奖金', '免费班车', '五险一金', '部门旅游']",朝阳区,本科,开发|测试|运维类,2天前发布,数据分析专家,20k-40k,3-5年
5927826,北京,北京瓴岳信息技术有限公司,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",朝阳区,本科,产品|需求|项目类,3天前发布,数据分析工程师,15k-30k,1-3年
5894488,北京,北京盛业恒泰投资有限公司,[],朝阳区,大专,金融类,2天前发布,数据分析师助理,6k-10k,应届毕业生
5931164,北京,Biss,[],朝阳区,本科,产品|需求|项目类,2天前发布,数据分析实习,4k-5k,1年以下
5926851,上海,威斯科技（苏州）有限公司,[],普陀区,本科,开发|测试|运维类,2天前发布,资深数据分析师,30k-55k,5-10年
5927035,上海,上海享物说网络科技有限公司,"['交通补助', '带薪年假', '高颜值高学历', '年轻自由']",徐汇区,本科,开发|测试|运维类,3天前发布,资深数据分析师,15k-28k,3-5年
5515103,上海,深圳寻找母星网络科技有限公司,"['股票期权', '带薪年假']",徐汇区,本科,产品|需求|项目类,2019-05-10,数据分析工程师,11k-18k,1-3年
5601338,北京,北京达佳互联信息技术有限公司,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",海淀区,本科,产品|需求|项目类,2019-04-16,数据分析专家,25k-45k,3-5年
5824380,广州,广州市原象信息科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '美女多']",海珠区,本科,开发|测试|运维类,2019-05-12,数据分析师/高级数据分析师,10k-15k,1-3年
5279419,北京,智道网联科技（北京）有限公司,[],东城区,本科,产品|需求|项目类,2019-05-12,资深数据分析师,25k-50k,5-10年
5205509,北京,北京拉勾网络技术有限公司,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",海淀区,本科,产品|需求|项目类,1天前发布,高级数据分析师,20k-40k,5-10年
5931346,上海,北京爱论答科技有限公司上海分公司,"['年底双薪', '带薪年假', '交通补助', '管理规范']",静安区,本科,市场|商务类,2天前发布,业务数据分析师 (MJ000165),10k-15k,1-3年
5923823,北京,车好多旧机动车经纪（北京）有限公司,"['带薪年假', '弹性工作', '免费班车', '美女多']",朝阳区,本科,产品|需求|项目类,3天前发布,商业化数据分析师,18k-28k,不限
4841257,上海,上海软科教育信息咨询有限公司,"['股票期权', '带薪年假', '绩效奖金', '任吃任喝']",闵行区,博士,产品|需求|项目类,1天前发布,高级数据分析师（排名方向）,15k-30k,不限
5765350,北京,北京三好互动教育科技有限公司,"['扁平管理', '五险一金', '带薪年假', '年终奖']",海淀区,本科,开发|测试|运维类,1天前发布,高级数据分析师,15k-18k,1-3年
5939809,成都,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",成华区,本科,产品|需求|项目类,1天前发布,数据分析,5k-10k,1-3年
5515122,上海,深圳寻找母星网络科技有限公司,"['股票期权', '带薪年假']",徐汇区,本科,产品|需求|项目类,2019-05-10,初级数据分析师,6k-10k,1年以下
5819302,上海,深圳虾皮信息科技有限公司,"['外企氛围', '蓝海市场', '大牛多多', '15天年假']",徐汇区,本科,产品|需求|项目类,2019-05-08,高级数据分析师,15k-20k,3-5年
5939630,上海,上海晨之科信息技术有限公司,"['绩效奖金', '弹性工作', '扁平管理', '带薪年假']",徐汇区,本科,产品|需求|项目类,1天前发布,数据分析（必须有游戏行业经验）,25k-40k,5-10年
